Plot,Date,Count,Type
Plot #15 ,3/29/1991,1,H-(DELS)
Plot #15 ,3/30/1991,0,H-(DELS)
Plot #15 ,3/31/1991,0,H-(DELS)
Plot #15 ,4/1/1991,0,H-(DELS)
Plot #15 ,4/2/1991,0,H-(DELS)
Plot #15 ,4/3/1991,0,H-(DELS)
Plot #15 ,4/4/1991,0,H-(DELS)
Plot #15 ,4/5/1991,0,H-(DELS)
Plot #15 ,4/6/1991,0,H-(DELS)
Plot #15 ,4/7/1991,0,H-(DELS)
Plot #15 ,4/8/1991,0,H-(DELS)
Plot #15 ,4/9/1991,0,H-(DELS)
Plot #15 ,4/10/1991,1,H-(DELS)
Plot #15 ,4/11/1991,0,H-(DELS)
Plot #15 ,4/12/1991,0,H-(DELS)
Plot #15 ,4/13/1991,0,H-(DELS)
Plot #15 ,4/14/1991,0,H-(DELS)
Plot #15 ,4/15/1991,0,H-(DELS)
Plot #15 ,4/16/1991,0,H-(DELS)
Plot #15 ,4/17/1991,0,H-(DELS)
Plot #15 ,4/18/1991,0,H-(DELS)
Plot #15 ,4/19/1991,0,H-(DELS)
Plot #15 ,4/20/1991,0,H-(DELS)
Plot #15 ,4/21/1991,0,H-(DELS)
Plot #15 ,4/22/1991,0,H-(DELS)
Plot #15 ,4/23/1991,0,H-(DELS)
Plot #15 ,4/24/1991,0,H-(DELS)
Plot #15 ,4/25/1991,0,H-(DELS)
Plot #15 ,4/26/1991,0,H-(DELS)
Plot #15 ,4/27/1991,0,H-(DELS)
Plot #15 ,4/28/1991,2,H-(DELS)
Plot #15 ,4/29/1991,2,H-(DELS)
Plot #15 ,4/30/1991,0,H-(DELS)
Plot #15 ,5/1/1991,0,H-(DELS)
Plot #15 ,5/2/1991,0,H-(DELS)
Plot #15 ,5/3/1991,0,H-(DELS)
Plot #15 ,5/4/1991,1,H-(DELS)
Plot #15 ,5/5/1991,1,H-(DELS)
Plot #15 ,5/6/1991,0,H-(DELS)
Plot #15 ,5/7/1991,0,H-(DELS)
Plot #15 ,5/8/1991,0,H-(DELS)
Plot #15 ,5/9/1991,0,H-(DELS)
Plot #15 ,5/10/1991,3,H-(DELS)
Plot #15 ,5/11/1991,0,H-(DELS)
Plot #15 ,5/12/1991,0,H-(DELS)
Plot #15 ,5/13/1991,0,H-(DELS)
Plot #15 ,5/14/1991,0,H-(DELS)
Plot #15 ,5/15/1991,0,H-(DELS)
Plot #15 ,5/16/1991,0,H-(DELS)
Plot #15 ,5/17/1991,0,H-(DELS)
Plot #15 ,5/18/1991,0,H-(DELS)
Plot #15 ,5/19/1991,0,H-(DELS)
Plot #15 ,5/20/1991,0,H-(DELS)
Plot #15 ,5/21/1991,0,H-(DELS)
Plot #15 ,5/22/1991,0,H-(DELS)
Plot #15 ,5/23/1991,0,H-(DELS)
Plot #15 ,5/24/1991,0,H-(DELS)
Plot #15 ,5/25/1991,0,H-(DELS)
Plot #15 ,5/26/1991,0,H-(DELS)
Plot #15 ,5/27/1991,0,H-(DELS)
Plot #15 ,5/28/1991,0,H-(DELS)
Plot #15 ,5/29/1991,0,H-(DELS)
Plot #15 ,5/30/1991,0,H-(DELS)
Plot #15 ,5/31/1991,0,H-(DELS)
Plot #15 ,6/1/1991,0,H-(DELS)
Plot #15 ,6/2/1991,0,H-(DELS)
Plot #15 ,6/3/1991,0,H-(DELS)
Plot #15 ,6/4/1991,2,H-(DELS)
Plot #15 ,6/5/1991,0,H-(DELS)
Plot #15 ,6/6/1991,0,H-(DELS)
Plot #15 ,6/7/1991,1,H-(DELS)
Plot #15 ,6/8/1991,0,H-(DELS)
Plot #15 ,6/9/1991,0,H-(DELS)
Plot #15 ,6/10/1991,1,H-(DELS)
Plot #15 ,6/11/1991,0,H-(DELS)
Plot #15 ,6/12/1991,0,H-(DELS)
Plot #15 ,6/13/1991,0,H-(DELS)
